5	27 43 58
6	13 28 38 48 59
7	09 19 30 41 52
8	03 14 25 36 47 58
9	09 20 31 42 53
10	04 15 26 37 48 59
11	10 19 29 38 48 57
12	07 17 26 36 45 55
13	04 14 23 33 43 52
14	02 11 21 30 40 49 59
15	09 19 28 38 48 57
16	08 19 30 41 52
17	04 15 27 39 50
18	01 13 26 39 52
19	05 18 31 44 57
20	10 23 36 49
21	02 15 28 41 56
22	11 26 41 56
23	11 27 42
